,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
20,hyunji****,,4,2021.11.10,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,처음에 어뮤즈 젤리 쿠션이 나온다고 했을때 너무 너무 사보고싶었던 제품 중 하나입니다 ㅠㅠ 일단 패키지 넘 예쁘고 뭔가 되게 유리알처럼 고급스러워보였어요 ! 한 눈에 넘어갔다고 볼 수있죠 ㅋㅋㅋㅎㅎ 쿠션 하나로 맑음+탄탄 하게 차오른다는 느낌을 팩트를 사용할때 딱 느낄 수 있었어요 !! 컬러는 3가지이며 저는 제일 밝은 색상을 구매했어요 ~ (1.5 맑음) / 어뮤즈 듀 젤리 비건 쿠션은 민감성 피부도 사용할 수 있는 저자극 클린&비건 성분의 쫀쫀한 70% 젤리 에센스가 피부를 건강하게 케어해주고 탁력과 리프팅 효과를 선사해 속에서부터 촉촉하고 탄탄하게 빛나는 물찬광 피부를 표현할 수 있어요. 저는 일단 이 제품에 대한 제일 아쉬운점은 크기가 일반 쿠션들에 비해서 조금 큰감이 있어요 ㅠㅠ 그리고 잡티가 많은 사람들에게는 커버력을 생각해서 사면 엄청 실망하실 수도있을거같아요 ! 그래서 데일리 메이크업용으로 사용하면 좋을거같구 잡티커버를 하고 싶다면 컨실러는 필수인거같아요 !! ㅎㅎ 쿠션을 발랐을때 부드럽게 발리고 촉촉하면서 답답한 느낌이 없었어요 저는 건성이라 수분 가득한 쿠션을 좋아하는데 이 제품이 저한테는 딱이였어요 🧡 내 피부인듯 맑고 자연스러운 메이크업을 하고싶으시다면 꼭 구매해보세용 ^_ ^
21,채송송,메이크업 분야 탑리뷰어,5,2021.11.02,아주 만족해요,지속이 오래돼요,보통이에요,복합성에 좋아요,"올영 무슨일이래요ㅎ 어뮤즈랑 콜라보해서
진짜 획기적인 세일가에다가 증정품까지ㅠㅠ
미니틴트라지만 생각보다 크기가 커서 진짜
실컷 쓸 거 같아요 복숭아 색상 좋아해서 기존에 쓰던거 있었는데, 이번에 기존색상중에 복숭아색만 또 리뉴얼됐다해서 2개째 구입했었거든요ㅋ
이렇게 사은행사있을줄 알았으면 좀 참을걸
그랬나봐요ㅋ아놔 아깝당ㅋ 새로나온
색상들도 전부 어뮤즈공홈에서 구입했었는데
역시나 참을걸그랬네요ㅋ 올영은 진짜 못하는게
뭐죠? 넘 좋습니다ㅋ 쿠션디자인도 쿠션들중
제일 감각넘치고 이뻐요 다소 큰 경향이 있지만,
그만큼 묵직하고 고급진 느낌이 있답니다
진짜 오랫만에 새로운 제형의 쿠션이 나온거같아서
그냥 후기고뭐고 바로 구입했네요 기존쿠션이랑
나란히 두니 이뻐요 뭐든 세트세트를 좋아하다보니
통장이 잠잠해질 기미가 안보이네요ㅋㅋ"
22,VIOLETAA,"복합성
쿨톤
모공
민감성",5,2022.01.03,보통이에요,보통이에요,보통이에요,복합성에 좋아요,상품 및 배송 모두 만족핮니다. 재구매의사 리쌍ㅇㅅ요 :)
23,awae,"복합성
쿨톤
미백
잡티",4,2021.12.09,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,생각보다 쿠션이 많이 커요 ㅎ 크고 묵직합니다. 근데 예뻐요.. 피부표현도 이쁘게돼요!
24,GreenAvocado,"복합성
웜톤
각질
모공",5,2021.12.06,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,평소 커버력이 없는 제품을 선호합니다 이제품은 피부톤정돈 정도만되서 제가 찾던 제품이네요 가격이 조금 비싼느낌이지만 원하던 제품이라 마음에 드네요 쿨링감이 좋습니다 17호톤이지만 얇고 커버력이 없는 제품이다보니 색상차이는 딱히 못느끼겠네요 오히려 허옇게 뜨는것보다 좋네요 사용해보고 재구매를 결정해야겠습니다
25,lulululu,지성,5,2021.12.03,아주 만족해요,보통이에요,보통이에요,건성에 좋아요,"1호랑 1.5호가 피부 위에선 크게 별 차이는 안 나는 것 같아요. 그리고 케이스는 그닥 안 이쁜것 같아서 좀 아쉽구요., 저는 너무 촉촉한것 보다는 매트한걸 선호하는 편인데 라방때 너무 혹하게 말씀을 잘 하셔서 홀린듯이 질렀거든요 거의 충동구매한건데 써보니까 나쁘진 않은 것 같았어요. 일단 색상이 넘 이쁘게 잘 뽑혔고 바르자마자 촉촉하고 시원한 느낌이 넘 맘에 들었거든요. 기초제품 바른 느낌이라고 그러던데 그 설명이 딱 맞는듯해요! 너무 물광돌고 그런 피부표현은 저한테는 안 어울리는데 이건 적당하게 피부 좋아보이는 깐달걀 고런 느낌으로 자연스러운 피부표현이 되서 좋은데 커버력은 1도 없는 것 갈아요ㅋㅋ 피부 좋은 사람들이 쓰면 좋을 것 같네요. 저는 트러블이 많이 올라오는 편이라 그럴땐 사용 안하는데 컨실러 사용하면 되긴하지만 그럼 자연스러운 느낌이 사라져서 걍 단독으로 쓰는게 훨씬 이쁜듯해요"
26,lulululu,지성,5,2021.12.03,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,전에 라이브방송때 구매했는데 괜찮게 쓰고있어요. 저는 너무 촉촉한것 보다는 매트한걸 선호하는 편인데 라방때 너무 혹하게 말씀을 잘 하셔서 홀린듯이 질렀거든요 거의 충동구매한건데 써보니까 나쁘진 않은 것 같았어요. 일단 색상이 넘 이쁘게 잘 뽑혔고 바르자마자 촉촉하고 시원한 느낌이 넘 맘에 들었거든요. 기초제품 바른 느낌이라고 그러던데 그 설명이 딱 맞는듯해요! 너무 물광돌고 그런 피부표현은 저한테는 안 어울리는데 이건 적당하게 피부 좋아보이는 깐달걀 고런 느낌으로 자연스러운 피부표현이 되서 좋은데 커버력은 1도 없는 것 갈아요ㅋㅋ 피부 좋은 사람들이 쓰면 좋을 것 같네요. 저는 트러블이 많이 올라오는 편이라 그럴땐 사용 안하는데 컨실러 사용하면 되긴하지만 그럼 자연스러운 느낌이 사라져서 걍 단독으로 쓰는게 훨씬 이쁜듯해요
27,alsthf****,"지성
쿨톤
각질
모공",5,2021.10.31,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"일단 저는 지복합성인데 저한테는 딱 좋아요!!
솔직히 커버력같은건 기대하시면 안돼요!
커버력은 별로없어요 근데 피부표현은 이뻐요!!!
촉촉하고 광채피부?또는 물광피부가 돼요!!
근데 마스크 쓰다보니 너무 촉촉하면 
마스크에 묻어날거 같아서 저는 파우더 처리를 하는데
피부표현이 굳이그요!!! 커버략 약해도 이쁜 피부로 되서
마음에 들어요!!! 그리구 어뮤즈는 비건이라서 너무너무 좋아요ㅠㅠㅠㅠ 비건쿠션이라 더더욱 선호도가 높구요!!
그전 쿠션도 잘쓰구 있는데 이번에는 촉촉이로 나와서 더더욱 마음에 들어요  지금 같은 계절에는 딱 촉촉한쿠션을 잘 사용하는편인데 지금철에 딱좋아여 벨벳으로 쓰면 피부가 너무 건조해지더라구요 딱 촉촉한거 쓰구 파우더 처리해주니 딱 
좋는거같아요! 열심히 쓰구 다쓰면 리필도 살 생각이에요!!!@"
28,복세편살준비생,,5,2021.12.05,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,"방송보면서 거의 홀려서 구매했던 쿠션
화사하게 1.순수을할까 1.5맑음를 할까 고민했는데 너무 제 피부라서 컬러미스였나 싶지만 촉촉하고 좀 더 피부가 좋아포이게 표현이되서 잘 쓰고있습니다. (만약 재구매한다면 1.순수로 구매하려구요)

- 사용한지는 좀 되서 11월에 사용할 때는 아직 쌀쌀 정도일때였어서 기초+ 쿠션 챱챱 바르면 음 촉촉하군 싶어서 괜찮았는데 요즘처럼 춥고 건조한 날에는 기초 조금 더 촉촉하게 잘 흡수 시키고 사용해주고 있습니다.

- 저는 중성~수부지?수부복?을 오가는 피부 컨디션을 갖고 잇습니다. 계절과 컨디션을 타는 사람에게 자극이 적고 피부가 편해서 여름 빼고는 계속 사용할 것 같아요.

- 다만 기름이 좀 많이 나는 날에는 진짜 지속력 망...이라 지성분들보단 중.건성분들이 사용하기 좋을것 같고 겨울에는 건조함이 느껴질 수 있으므로 기초를 탄탄히 하고나 다른...제품...네^^

- 지속력은 막 엄청 좋지 않아요.....^^ 근데 무너진다 보다 날아간다 느낌이라 더럽다는 느낌은 없었어요. 수정화장 할 때 더럽게무너지는 마뮤리보다 날아가는걸 더 선호해 만족했습니다.

- 투명한 케이스가 예쁜데 생각보다 좀 많이 커서 휴대하기 좋지는 않아요. 

- on-ly 본품 no리필인데 올리브영 입점한 다른 브랸드들과  가격 비교하면 살알짝 마음아픈 가격이지만 비건....하나 믿고 갑니다^^

- 사용 후 외출하면서 사용했던 마스크입니다!"
29,haj****,,5,2021.11.18,아주 만족해요,보통이에요,아주 촉촉해요,지성에 좋아요,"지성피부이고 어둡지도 밝지도 않은 피부입니다. 
누드를 구매한 이유는 상세페이지에 상아색피부표현때문에 구매했어요. 실제로도 피부색상과 이질감있지않고 잘 맞았습니다. 커버력은 없다고 보시면 됩니다. 하지만 균일하지 않은 표현을 동일하게 만들어주신다고 생각하시면 될 것 같아요. 발림성이 투명해서 각질부각은 없어요. 비건제품에 맞게 자연스럽고 잡티까지 꾸밈없이 표현이 가능합니다. 저는 쿠션만 사용했는데 피부가가볍고 좋았어요. 광체표현도 자연스럽고요. 

제품쿠션은 투명유리가 무겁진않지만 사이즈가 큰감은 있는 것 같아요. 매쉬망에 안에 들어있는 젤리같은 고체형 내용물이 신기했어요. 제품 네이밍처럼 젤리같아요. 

어떤색상을 선택하셔도 자연스럽게 피부표현 될 겁니다. 저는 공홈에서 2개제품을 추가로 구매해서 3가지색상 다있는데 색상의 밝기에 따라 본인이 색상을 선택하시면 좋을 것 같아요. 
1호와 2호는 상아색베이스 1.5는 아이보리색상이니 참고하시면 될 것 같아요. 2호라고 해서 어둡지 많습니다. 말그대로 누드 살구색표현이 가능해요. 

뭍어남은 두드려주실수록 피부에잘 밀착됩니다. 유지력도 좋았고 다크닝도 크게없었어요. 그럴 수 밖에 없는게 커버력이 없기때문에 피부에서 날라감이 거의 없어요.

결론으로 제품 커버보다는 잡티도 나는 자연스럽게 비춰지는 표현을 원하고 가볍고 모공부각없는 밀착과 비건에 맞는 자연스러움을 원한다면 선택하시면 될 것 같아요. 

다양한 제품군을 써보고 싶은 분
피부의 잡티가 신경쓰이지 않는 피부인 분
잡티까지도 자연스럽게 표연하고 싶은 분"
30,세돌,,4,2021.11.11,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"첫 글로우 쿠션 후기!!!
이번 어뮤즈에서 글로우 비건 쿠션이 나온다는 소식 듣고 구경 왔다가 매쉬 형태의 망? 으로 되어있는 거 보고 바로 구매했어요 사은품으로 복숭아 듀틴트 미니 받았는데 색깔 너무 예뻐요ㅠㅠㅠ
일단 제가 매트 쿠션만 써 보다가 이 쿠션을 써보니까 커버력이 무엇보다도 너무너무 아쉬웠어요ㅠㅠ 이 쿠션이 워낙 얇게 발려버리다 보니까 커버를 위해 그 위해 여러번 덧 발라도 쌓이는 느낌의 쿠션이 전혀 아니었어요 그래서 커버력이 어느 정도 필요하신 분들은 그냥 이 쿠션은 패스하셔도 될 것 같아요 그래서 저는 이 쿠션을 바르고 위에 세미매트 쿠션을 커버할 부분에만 다시 발라주는 방법으로 바르고 있어요!
그래도 일단 겨울에 사용하기에는 피부표현이 진짜 너무나도 예쁘게 된다는 점이 너무 좋았어요 제가 첨으로 글로우를 도전해본 계기가 너무 밀착력 추구하는 매트 쿠션 쓰다보니 이제 추워지면서 스킨케어 촉촉히 하고 매트 쿠션 바르니까 계속 밀리는 이유 때문이었어요ㅠ 그래서 이 젤리 쿠션 만큼은 얇게 발리고 피부가 깨끗히 예쁘게 표현된다는 점이 일단 맘에 들었어요 광도 예쁘지만 이 위에 파우더 한다고 해서 뭉치고 그런 쿠션이 아니에요 그래서 진짜 다행이라고 생각했어요 그래서 겨울에 피부표현 예쁘게 하고 싶다하면 그리고 얇게 발리는 거 좋다 하면 이 쿠션 추천드릴게요 
근데 단점이 하나 더 있어요 너무 쿠션 케이스가 딱딱한 느낌인데 커서? 가지고 다니기는 좀 그래요 그래서 저는 수정화장 용으로는 손이 안가는? 무튼 참고해주시면 좋을 것 같아요 
총평은 피부표현은 너무 예쁘지만 커버력도 그렇고 가격을 생각하면 조금 아쉬움이 남는? 그런 쿠션이에요"
31,돈돌,"건성
웜톤
주름",5,2021.12.29,보통이에요,보통이에요,보통이에요,복합성에 좋아요,"유투버보고
구매했어요 잘 그려지는것. 같아요 친구가 너무 예쁘다고 하네요"
32,봉봉,,5,2021.12.23,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"각종 유튜버들이 리뷰한 것을 보고 기대가 많이 되어서 생일 찬스로 다른 사람에게 선물받아 쓰게 되었습니다. 유튜버들이 말하는 게 전부다 한결같아서 그런 점을 중점에 두고 구입하게 되었는데요. 첫번째로는 촉촉하다, 두번째로는 커버가 안되고 발랐는지 안발랐는지 너무 내 피부같아서 구분이 안된다. 이렇게 한결같이 얘기하더라구요. 그래서 그런점을 기대하면서 구매해보았구요. 제 피부타입은 건성이고 각질이 심하게 많은 편이라 웬만한 쿠션은 전부 뜬다고 보면 되구요. 어차피 다른 쿠션사도 연하게만 바르는데 커버가 뭐가 중요한가 하고 사봤습니다.
1. 촉촉함
일단 바를때 촉촉함이 느껴지는게 딱 기분좋은 정도예요. 이건 어뮤즈 듀틴트 사용하면서도 느낀건데 촉촉한게 뭔가 기분좋게 촉촉해요. 약간의 쿨링감이 느껴지는 정도? 그렇다고 당연히 이걸로 기초제품정도의 촉촉함을 원한다 이런건 말도 안됩니다. 
2. 커버
커버력같은 경우에는 제가 너무 기대를 안해서 그런가 코부분 모공부자인데 적당히 잘 가려지더라구요. 막 진짜 바른듯아닌듯 기초제품수준 이런걸 생각했어서 그런지 전체적으로 커버가 되는건 아닌데 모공정도는 어느정도 가려졌어요. 대신 점이라든지 잡티, 핏줄같은건 잘 안가려지는게 맞아요. 커버가 강하지 않은 대신 미묘한 광..? 같은게 살짝 돌긴합니다. 
3. 색상
조금 난감한게 매장에서 손등 테스트를 했을때 모든 색이 전혀 발색이 안되더라구요. 그래서 바른 티도 안날줄 알고 23호인데도 불구하고 1호살까 1.5살까하다가 1.5샀는데 밝아요..ㅠ 1호샀으면 큰일날뻔. 다른 유튜버분 말대로 다크닝 있기때문에 바르고나가서 오래있다보면 제 톤으로 맞춰지는데 그때까진 밝아서 화장한 티가 납니다ㅠㅋㅋ 그리고 제가 옐로우베이스로 피부화장을 해야한다고 퍼스널컬러진단 받았거든요. 근데 제 피부엔 회끼가 도네요.. 그래서 바른 직후엔 불만족스러운 기분이 드는데 시간이ㅠ지나면 또 피부랑 좀 어우러지면서 예뻐지는 기분이에요 ㅋㅋ 그래서 이거 나가기 전에 시간을 두고 미리 발라놓습니다 ㅋㅋ 
4. 각질
기본적으로 제 피부는 모든 피부화장을 뱉어내는데요 ㅋㅋ 그래도 그나마 나은 쿠션들이 있어요. 이건 바른 부분을 손으로 밀면 각질이 밀릴 수 있지만 밀지않고 잘 살살 발라주면 저도 바를수있는 좋은 쿠션의 범주에 들어가네요. 이런 쿠션 저한텐 정말 몇개 없습니다. 발림은 만족입니다.

커버력을 중시하시고 도자기같은 피부를 원하시는 분들한텐 그닥 어울리진 않은 쿠션인거 같구요. 저처럼 촉촉하고 피부에 각질 안뜨는게 최우선인 분들에게 최적화된 쿠션같습니다. 현재로선 색상빼곤 꽤 만족스럽습니다."
